Date/Time,Energy Produced (Wh)
2015-07-08 00:00:00 -0700,10329
2015-07-09 00:00:00 -0700,6123
2015-07-10 00:00:00 -0700,8578
2015-07-11 00:00:00 -0700,19995
2015-07-12 00:00:00 -0700,18838
2015-07-13 00:00:00 -0700,19722
2015-07-14 00:00:00 -0700,16363
2015-07-15 00:00:00 -0700,20524
2015-07-16 00:00:00 -0700,20511
2015-07-17 00:00:00 -0700,20155
2015-07-18 00:00:00 -0700,20633
2015-07-19 00:00:00 -0700,17850
2015-07-20 00:00:00 -0700,18556
2015-07-21 00:00:00 -0700,19838
2015-07-22 00:00:00 -0700,18834
2015-07-23 00:00:00 -0700,17606
2015-07-24 00:00:00 -0700,21367
2015-07-25 00:00:00 -0700,20690
2015-07-26 00:00:00 -0700,19314
2015-07-27 00:00:00 -0700,20250
2015-07-28 00:00:00 -0700,19821
2015-07-29 00:00:00 -0700,19502
2015-07-30 00:00:00 -0700,19339
2015-07-31 00:00:00 -0700,15901
2015-08-01 00:00:00 -0700,17746
2015-08-02 00:00:00 -0700,16003
2015-08-03 00:00:00 -0700,19526
2015-08-04 00:00:00 -0700,12077
2015-08-05 00:00:00 -0700,18933
2015-08-06 00:00:00 -0700,9178
2015-08-07 00:00:00 -0700,18842
2015-08-08 00:00:00 -0700,15680
2015-08-09 00:00:00 -0700,19275
2015-08-10 00:00:00 -0700,18831
2015-08-11 00:00:00 -0700,18479
2015-08-12 00:00:00 -0700,18940
2015-08-13 00:00:00 -0700,18766
2015-08-14 00:00:00 -0700,18449
2015-08-15 00:00:00 -0700,16115
2015-08-16 00:00:00 -0700,15205
2015-08-17 00:00:00 -0700,17188
2015-08-18 00:00:00 -0700,17471
2015-08-19 00:00:00 -0700,17053
2015-08-20 00:00:00 -0700,16113
2015-08-21 00:00:00 -0700,16740
2015-08-22 00:00:00 -0700,15822
2015-08-23 00:00:00 -0700,15018
2015-08-24 00:00:00 -0700,16030
2015-08-25 00:00:00 -0700,15953
2015-08-26 00:00:00 -0700,14083
2015-08-27 00:00:00 -0700,14746
2015-08-28 00:00:00 -0700,14992
2015-08-29 00:00:00 -0700,10201
2015-08-30 00:00:00 -0700,14782
2015-08-31 00:00:00 -0700,14407
2015-09-01 00:00:00 -0700,14348
2015-09-02 00:00:00 -0700,14001
2015-09-03 00:00:00 -0700,14286
2015-09-04 00:00:00 -0700,13859
2015-09-05 00:00:00 -0700,13400
2015-09-06 00:00:00 -0700,13357
2015-09-07 00:00:00 -0700,12514
2015-09-08 00:00:00 -0700,12285
2015-09-09 00:00:00 -0700,11636
2015-09-10 00:00:00 -0700,9843
2015-09-11 00:00:00 -0700,12232
2015-09-12 00:00:00 -0700,5690
2015-09-13 00:00:00 -0700,9044
2015-09-14 00:00:00 -0700,5923
2015-09-15 00:00:00 -0700,9257
2015-09-16 00:00:00 -0700,7387
2015-09-17 00:00:00 -0700,11283
2015-09-18 00:00:00 -0700,10287
2015-09-19 00:00:00 -0700,9874
2015-09-20 00:00:00 -0700,9455
2015-09-21 00:00:00 -0700,9345
2015-09-22 00:00:00 -0700,10832
2015-09-23 00:00:00 -0700,9299
2015-09-24 00:00:00 -0700,8941
2015-09-25 00:00:00 -0700,8518
2015-09-26 00:00:00 -0700,8730
2015-09-27 00:00:00 -0700,8180
2015-09-28 00:00:00 -0700,9326
2015-09-29 00:00:00 -0700,7602
2015-09-30 00:00:00 -0700,2593
2015-10-01 00:00:00 -0700,8376
2015-10-02 00:00:00 -0700,7425
2015-10-03 00:00:00 -0700,7491
2015-10-04 00:00:00 -0700,6970
2015-10-05 00:00:00 -0700,6742
2015-10-06 00:00:00 -0700,6711
2015-10-07 00:00:00 -0700,6409
2015-10-08 00:00:00 -0700,6234
2015-10-09 00:00:00 -0700,6087
2015-10-10 00:00:00 -0700,5852
2015-10-11 00:00:00 -0700,5584
2015-10-12 00:00:00 -0700,5408
2015-10-13 00:00:00 -0700,5246
2015-10-14 00:00:00 -0700,5501
2015-10-15 00:00:00 -0700,4723
2015-10-16 00:00:00 -0700,5087
2015-10-17 00:00:00 -0700,3787
2015-10-18 00:00:00 -0700,5315
2015-10-19 00:00:00 -0700,4993
2015-10-20 00:00:00 -0700,4525
2015-10-21 00:00:00 -0700,4426
2015-10-22 00:00:00 -0700,4449
2015-10-23 00:00:00 -0700,4795
2015-10-24 00:00:00 -0700,5229
2015-10-25 00:00:00 -0700,4193
2015-10-26 00:00:00 -0700,3834
2015-10-27 00:00:00 -0700,2467
2015-10-28 00:00:00 -0700,4440
2015-10-29 00:00:00 -0700,3423
2015-10-30 00:00:00 -0700,3163
2015-10-31 00:00:00 -0700,2972
2015-11-01 00:00:00 -0700,4345
2015-11-02 00:00:00 -0800,3029
2015-11-03 00:00:00 -0800,3010
2015-11-04 00:00:00 -0800,2874
2015-11-05 00:00:00 -0800,3805
2015-11-06 00:00:00 -0800,2586
2015-11-07 00:00:00 -0800,2580
2015-11-08 00:00:00 -0800,3214
2015-11-09 00:00:00 -0800,2545
2015-11-10 00:00:00 -0800,2820
2015-11-11 00:00:00 -0800,2256
2015-11-12 00:00:00 -0800,2155
2015-11-13 00:00:00 -0800,2079
2015-11-14 00:00:00 -0800,2096
2015-11-15 00:00:00 -0800,2379
