"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-01","9.84","0.00","0.0","0.0",,"72","56"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-02","10.96","0.00","0.0","0.0",,"70","57"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-03","10.51","0.00","0.0","0.0",,"69","54"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-04","8.72","0.00","0.0","0.0",,"67","54"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-05","7.38","0.00","0.0","0.0",,"72","53"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-06","10.07","0.00","0.0","0.0",,"70","53"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-07","9.17","0.00","0.0","0.0",,"70","54"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-08","9.40","0.00","0.0","0.0",,"68","57"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-09","8.05","0.00","0.0","0.0",,"71","57"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-10","8.95","0.00","0.0","0.0",,"73","60"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-11","13.42","0.00","0.0","0.0",,"72","61"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-12","11.41","0.00","0.0","0.0",,"70","58"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-13","8.28","0.00","0.0","0.0",,"71","58"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-14","8.95","0.00","0.0","0.0",,"76","57"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-15","10.74","0.00","0.0","0.0",,"77","59"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-16","13.65","0.00","0.0","0.0",,"74","62"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-17","13.20","0.00","0.0","0.0",,"73","63"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-18","11.63","0.00","0.0","0.0",,"71","63"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-19","10.07","0.00","0.0","0.0",,"72","62"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-20","10.96","0.00","0.0","0.0",,"73","62"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-21","11.18","0.00","0.0","0.0",,"74","63"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-22","10.29","0.01","0.0","0.0",,"76","63"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-23","8.95","0.00","0.0","0.0",,"76","63"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-24","7.16","0.00","0.0","0.0",,"83","62"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-25","7.83","0.00","0.0","0.0",,"90","60"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-26","10.51","0.00","0.0",,,"77","61"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-27","10.74","0.00","0.0","0.0",,"78","61"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-28","10.07","0.00","0.0","0.0",,"72","61"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-29","10.51","0.00","0.0","0.0",,"76","60"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-30","10.74","0.00","0.0","0.0",,"73","59"
"USW00023230","OAKLAND METROPOLITAN, CA US","2014-07-31","8.72","0.00","0.0","0.0",,"71","59"
