Name,
Address,
Account Number,
Service,

TYPE,DATE,USAGE,UNITS,COST,NOTES
Natural gas usage,2014-07-04,0.00,therms,$0.00,
Natural gas usage,2014-07-05,0.00,therms,$0.00,
Natural gas usage,2014-07-06,0.00,therms,$0.00,
Natural gas usage,2014-07-07,0.00,therms,$0.00,
Natural gas usage,2014-07-08,0.00,therms,$0.00,
Natural gas usage,2014-07-09,1.02,therms,$1.34,
Natural gas usage,2014-07-10,0.00,therms,$0.00,
Natural gas usage,2014-07-11,0.00,therms,$0.00,
Natural gas usage,2014-07-12,0.00,therms,$0.00,
Natural gas usage,2014-07-13,0.00,therms,$0.00,
Natural gas usage,2014-07-14,1.02,therms,$1.33,
Natural gas usage,2014-07-15,0.00,therms,$0.00,
Natural gas usage,2014-07-16,0.00,therms,$0.00,
Natural gas usage,2014-07-17,0.00,therms,$0.00,
Natural gas usage,2014-07-18,0.00,therms,$0.00,
Natural gas usage,2014-07-19,1.02,therms,$1.33,
Natural gas usage,2014-07-20,0.00,therms,$0.00,
Natural gas usage,2014-07-21,0.00,therms,$0.00,
Natural gas usage,2014-07-22,1.02,therms,$1.34,
Natural gas usage,2014-07-23,0.00,therms,$0.00,
Natural gas usage,2014-07-24,0.00,therms,$0.00,
Natural gas usage,2014-07-25,0.00,therms,$0.00,
Natural gas usage,2014-07-26,1.02,therms,$1.34,
Natural gas usage,2014-07-27,0.00,therms,$0.00,
Natural gas usage,2014-07-28,0.00,therms,$0.00,
Natural gas usage,2014-07-29,0.00,therms,$0.00,
Natural gas usage,2014-07-30,0.00,therms,$0.00,
Natural gas usage,2014-07-31,1.03,therms,$1.34,
Natural gas usage,2014-08-01,0.00,therms,$0.00,
Natural gas usage,2014-08-02,0.00,therms,$0.00,
Natural gas usage,2014-08-03,1.02,therms,$1.34,
Natural gas usage,2014-08-04,0.00,therms,$0.00,
Natural gas usage,2014-08-05,0.00,therms,$0.00,
Natural gas usage,2014-08-06,1.02,therms,$1.34,
Natural gas usage,2014-08-07,0.00,therms,$0.00,
Natural gas usage,2014-08-08,1.02,therms,$1.34,
Natural gas usage,2014-08-09,0.00,therms,$0.00,
Natural gas usage,2014-08-10,0.00,therms,$0.00,
Natural gas usage,2014-08-11,1.03,therms,$1.35,
Natural gas usage,2014-08-12,0.00,therms,$0.00,
Natural gas usage,2014-08-13,0.00,therms,$0.00,
Natural gas usage,2014-08-14,1.03,therms,$1.35,
Natural gas usage,2014-08-15,0.00,therms,$0.00,
Natural gas usage,2014-08-16,0.00,therms,$0.00,
Natural gas usage,2014-08-17,1.03,therms,$1.35,
Natural gas usage,2014-08-18,0.00,therms,$0.00,
Natural gas usage,2014-08-19,0.00,therms,$0.00,
Natural gas usage,2014-08-20,1.03,therms,$1.35,
Natural gas usage,2014-08-21,0.00,therms,$0.00,
Natural gas usage,2014-08-22,0.00,therms,$0.00,
Natural gas usage,2014-08-23,1.03,therms,$1.35,
Natural gas usage,2014-08-24,0.00,therms,$0.00,
Natural gas usage,2014-08-25,0.00,therms,$0.00,
Natural gas usage,2014-08-26,1.03,therms,$1.35,
Natural gas usage,2014-08-27,0.00,therms,$0.00,
Natural gas usage,2014-08-28,0.00,therms,$0.00,
Natural gas usage,2014-08-29,1.03,therms,$1.35,
Natural gas usage,2014-08-30,0.00,therms,$0.00,
Natural gas usage,2014-08-31,0.00,therms,$0.00,
Natural gas usage,2014-09-01,1.03,therms,$1.35,
Natural gas usage,2014-09-02,0.00,therms,$0.00,
Natural gas usage,2014-09-03,0.00,therms,$0.00,
Natural gas usage,2014-09-04,1.03,therms,$1.35,
Natural gas usage,2014-09-05,0.00,therms,$0.00,
Natural gas usage,2014-09-06,1.03,therms,$1.35,
Natural gas usage,2014-09-07,0.00,therms,$0.00,
Natural gas usage,2014-09-08,0.00,therms,$0.00,
Natural gas usage,2014-09-09,1.03,therms,$1.35,
Natural gas usage,2014-09-10,0.00,therms,$0.00,
Natural gas usage,2014-09-11,0.00,therms,$0.00,
Natural gas usage,2014-09-12,1.03,therms,$1.35,
Natural gas usage,2014-09-13,0.00,therms,$0.00,
Natural gas usage,2014-09-14,0.00,therms,$0.00,
Natural gas usage,2014-09-15,1.03,therms,$1.34,
Natural gas usage,2014-09-16,0.00,therms,$0.00,
Natural gas usage,2014-09-17,0.00,therms,$0.00,
Natural gas usage,2014-09-18,1.03,therms,$1.34,
Natural gas usage,2014-09-19,0.00,therms,$0.00,
Natural gas usage,2014-09-20,1.03,therms,$1.34,
Natural gas usage,2014-09-21,0.00,therms,$0.00,
Natural gas usage,2014-09-22,1.03,therms,$1.34,
Natural gas usage,2014-09-23,0.00,therms,$0.00,
Natural gas usage,2014-09-24,0.00,therms,$0.00,
Natural gas usage,2014-09-25,1.03,therms,$1.34,
Natural gas usage,2014-09-26,0.00,therms,$0.00,
Natural gas usage,2014-09-27,0.00,therms,$0.00,
Natural gas usage,2014-09-28,1.03,therms,$1.35,
Natural gas usage,2014-09-29,0.00,therms,$0.00,
Natural gas usage,2014-09-30,1.03,therms,$1.35,
Natural gas usage,2014-10-01,0.00,therms,$0.00,
Natural gas usage,2014-10-02,0.00,therms,$0.00,
Natural gas usage,2014-10-03,1.03,therms,$1.35,
Natural gas usage,2014-10-04,0.00,therms,$0.00,
Natural gas usage,2014-10-05,1.03,therms,$1.35,
Natural gas usage,2014-10-06,0.00,therms,$0.00,
Natural gas usage,2014-10-07,1.03,therms,$1.35,
Natural gas usage,2014-10-08,0.00,therms,$0.00,
Natural gas usage,2014-10-09,0.00,therms,$0.00,
Natural gas usage,2014-10-10,0.00,therms,$0.00,
Natural gas usage,2014-10-11,1.03,therms,$1.35,
Natural gas usage,2014-10-12,0.00,therms,$0.00,
Natural gas usage,2014-10-13,1.03,therms,$1.35,
Natural gas usage,2014-10-14,0.00,therms,$0.00,
Natural gas usage,2014-10-15,0.00,therms,$0.00,
Natural gas usage,2014-10-16,1.03,therms,$1.35,
Natural gas usage,2014-10-17,0.00,therms,$0.00,
Natural gas usage,2014-10-18,1.03,therms,$1.35,
Natural gas usage,2014-10-19,0.00,therms,$0.00,
Natural gas usage,2014-10-20,1.03,therms,$1.35,
Natural gas usage,2014-10-21,0.00,therms,$0.00,
Natural gas usage,2014-10-22,0.00,therms,$0.00,
Natural gas usage,2014-10-23,0.00,therms,$0.00,
Natural gas usage,2014-10-24,1.03,therms,$1.35,
Natural gas usage,2014-10-25,1.03,therms,$1.35,
Natural gas usage,2014-10-26,2.06,therms,$2.70,
Natural gas usage,2014-10-27,0.00,therms,$0.00,
Natural gas usage,2014-10-28,1.03,therms,$1.34,
Natural gas usage,2014-10-29,1.03,therms,$1.34,
Natural gas usage,2014-10-30,0.00,therms,$0.00,
Natural gas usage,2014-10-31,0.00,therms,$0.00,
Natural gas usage,2014-11-01,2.05,therms,$2.68,
Natural gas usage,2014-11-02,2.05,therms,$2.68,
Natural gas usage,2014-11-03,1.03,therms,$1.35,
Natural gas usage,2014-11-04,1.03,therms,$1.35,
Natural gas usage,2014-11-05,1.03,therms,$1.35,
Natural gas usage,2014-11-06,1.03,therms,$1.35,
Natural gas usage,2014-11-07,1.03,therms,$1.35,
Natural gas usage,2014-11-08,0.00,therms,$0.00,
Natural gas usage,2014-11-09,1.03,therms,$1.35,
Natural gas usage,2014-11-10,0.00,therms,$0.00,
Natural gas usage,2014-11-11,1.03,therms,$1.34,
Natural gas usage,2014-11-12,1.03,therms,$1.34,
Natural gas usage,2014-11-13,2.06,therms,$2.69,
Natural gas usage,2014-11-14,1.03,therms,$1.34,
Natural gas usage,2014-11-15,2.06,therms,$2.69,
Natural gas usage,2014-11-16,3.08,therms,$4.03,
Natural gas usage,2014-11-17,2.06,therms,$2.70,
Natural gas usage,2014-11-18,3.09,therms,$4.05,
Natural gas usage,2014-11-19,0.00,therms,$0.00,
Natural gas usage,2014-11-20,1.03,therms,$1.35,
Natural gas usage,2014-11-21,2.06,therms,$2.70,
